timestamp,cpu_usage,memory_usage,network_bytes_sent,network_bytes_recv,server_status
1727037308.63202,14.4,52.7,525947295,23115020073,UP
1727037310.634753,3.0,52.7,526110380,23115157869,UP
1727037312.6381998,8.1,52.9,526269071,23115288073,UP
1727037314.6417708,8.6,52.9,526444205,23115432992,UP
1727037316.6438584,26.1,53.2,526589100,23115549877,UP
1727037318.6461744,47.2,52.6,526763189,23115681869,UP
1727037320.6483607,1.0,52.7,526929814,23115831525,UP
1727037322.65072,3.0,52.8,527084780,23115969010,UP
1727037324.6542568,8.5,52.8,527259675,23116098177,UP
1727037326.656364,5.0,52.8,527398346,23116216640,UP
1727037328.6595943,7.5,52.8,527534618,23116330161,UP
1727037330.661745,1.0,52.7,527727464,23116479447,UP
1727037332.6644464,87.4,53.1,528213084,23116831895,UP
1727037334.6675158,32.0,53.6,528390401,23116981308,UP
1727037336.6699708,5.0,53.6,528548049,23117099746,UP
1727037338.67261,0.5,53.6,528690453,23117215307,UP
1727037340.6758797,0.5,53.4,528839028,23117341036,UP
1727037342.6792786,2.0,53.5,529206148,23117609898,UP
1727037344.6831117,11.1,53.7,529380330,23117743335,UP
1727037346.6852038,4.0,53.8,529510498,23117854109,UP
1727037348.6874077,2.0,53.4,529966170,23118160864,UP
1727037350.6898744,8.5,53.8,530145083,23118300795,UP
1727037352.6920285,2.0,53.9,530272744,23118408996,UP
1727037354.694329,7.5,53.9,530473592,23118563384,UP
1727037356.6966178,7.5,53.5,530609328,23118669221,UP
1727037358.7006338,3.0,53.5,530737760,23118777993,UP
1727037360.7026496,9.2,53.8,530916153,23118917451,UP
1727037362.7048552,3.0,53.8,531050557,23119027753,UP
1727037364.7075677,6.0,53.8,531215892,23119159723,UP
1727037366.7103074,15.2,54.0,531362242,23119270472,UP
1727037368.71283,3.5,54.0,531530794,23119414130,UP
1727037370.7154548,8.5,53.8,531672769,23119533041,UP
1727037372.7179615,9.5,53.9,531812382,23119637778,UP
1727037374.7209344,7.1,53.9,531967659,23119764290,UP
1727037376.723118,7.1,53.9,532042084,23119829145,UP
1727037378.7252872,3.5,53.9,532122766,23119896744,UP
1727037380.728042,8.5,54.0,532211875,23119982627,UP
1727037382.7316067,33.5,54.0,532274069,23120045831,UP
1727037384.7343245,52.3,51.6,532401742,23120148971,UP
1727037386.738679,8.0,51.4,532513908,23120270841,UP
1727037388.740713,10.6,51.4,532615158,23120365497,UP
