timestamp,packets_sent,bytes_sent,elapsed_time,packet_rate,bandwidth,cpu_usage,memory_usage,network_bytes_sent,network_bytes_recv,network_packets_sent,network_packets_recv,attack_intensity,src_ip,dest_ip
2024-09-22 18:51:22.206835,0,0,100.36789298057556,0.0,0.0,6.7,22.6,65310569,22671828438,318703,16247437,2.0,,192.168.1.100
2024-09-22 18:51:23.276158,0,0,101.43721604347229,0.0,0.0,13.1,22.2,65311257,22671828963,318706,16247439,2.0,,192.168.1.100
2024-09-22 18:51:24.336638,0,0,102.4976966381073,0.0,0.0,4.8,22.2,65313175,22671830588,318722,16247454,2.0,,192.168.1.100
2024-09-22 18:51:25.396452,0,0,103.55751013755798,0.0,0.0,3.8,22.2,65313863,22671831113,318725,16247456,2.0,,192.168.1.100
2024-09-22 18:51:26.456895,0,0,104.61795330047607,0.0,0.0,5.2,22.2,65333029,22671835730,318749,16247475,2.0,,192.168.1.100
2024-09-22 18:51:27.517341,0,0,105.6783995628357,0.0,0.0,9.0,22.2,65334870,22671837029,318759,16247483,2.0,,192.168.1.100
2024-09-22 18:51:28.577367,0,0,106.7384250164032,0.0,0.0,11.0,22.3,65335558,22671837554,318762,16247485,2.0,,192.168.1.100
2024-09-22 18:51:29.637338,0,0,107.79839611053467,0.0,0.0,4.2,22.3,65336711,22671838328,318769,16247491,2.0,,192.168.1.100
2024-09-22 18:51:30.725159,0,0,108.88621759414673,0.0,0.0,15.3,22.4,65337699,22671839455,318777,16247498,2.0,,192.168.1.100
2024-09-22 18:51:31.785312,0,0,109.9463701248169,0.0,0.0,3.8,22.4,65338852,22671840229,318784,16247504,2.0,,192.168.1.100
2024-09-22 18:51:32.861028,0,0,111.02208638191223,0.0,0.0,12.1,22.4,65358018,22671844780,318808,16247522,2.0,,192.168.1.100
2024-09-22 18:51:33.926305,0,0,112.08736324310303,0.0,0.0,10.0,22.4,65359171,22671845554,318815,16247528,2.0,,192.168.1.100
